sku,product_name,brand,category,manufacturer_part_number,compatible_vehicles,replacement_sku,alternative_sku,accessory_skus,description,image_folder,image_count
DE1439,Duralast Elite Rear Ceramic Brake Pad Set,Duralast,Brake Pads,DE1439,Toyota RAV4 (2019-2023)|Toyota Highlander (2020-2023),MKD643,DG2102,,"OEM-style rear ceramic brake pad set featuring a distinctive honeycomb-perforated steel backing plate for improved heat dissipation, chamfered and slotted friction material for quiet, vibration-free stopping, and a bonded wear indicator. Backed by Duralast's 3X Longer Life formulation for extended pad life over standard ceramic compounds.",images/DE1439,6
DG184,Duralast Gold Heavy-Duty Front Brake Pad Set,Duralast,Brake Pads,DG184,Ford F-150 (2015-2020)|Ford Expedition (2015-2020),DG2102,MKD629,,"Semi-metallic front brake pad set engineered for full-size trucks and SUVs, featuring a deeply curved friction surface, reinforced steel backing plates, and integrated anti-rattle clips. Includes a full hardware kit (shims and clips) for a complete installation.",images/DG184,6
DG2102,Duralast Gold Semi-Metallic Front Brake Pad Set,Duralast,Brake Pads,DG2102,Chevrolet Silverado 1500 (2014-2019)|GMC Sierra 1500 (2014-2019),DG184,MKD605,,"OE-grade semi-metallic front brake pad set with machined slots and chamfers for smooth, quiet engagement and low dust output. Each pad includes a factory-style electronic wear-sensor wire and a galvanized steel backing plate for corrosion resistance.",images/DG2102,6
MKD605,Premium Ceramic Front Brake Pad Set,Wagner ThermoQuiet,Brake Pads,MKD605,Honda Accord (2018-2022)|Honda Civic (2016-2021),MKD629,MKD643,,"Flat, rectangular front brake pad set with beveled edges and a light grey ceramic friction compound bonded to a black-coated steel backing plate. Designed for low noise and minimal brake dust on OE-style sedans. Sold without retail packaging.",images/MKD605,6
MKD629,Akebono ProACT Front Performance Brake Pad Set,Akebono,Brake Pads,MKD629,Toyota 4Runner (2010-2023)|Lexus GX460 (2010-2023),MKD605,DE1439,,Performance-oriented front brake pad set with a split friction pad design mounted to a heavy-duty backing plate with reinforced mounting ears and abutment clips. Higher-friction ceramic-composite compound intended for SUVs carrying heavier loads.,images/MKD629,3
MKD643,ACDelco Professional Front Brake Pad Set with Wear Sensor,ACDelco,Brake Pads,MKD643,Jeep Grand Cherokee (2014-2020)|Dodge Durango (2014-2020),DE1439,MKD605,,"Curved front brake pad set with contoured mounting ears, dark grey friction material, and a factory-style wear-sensor contact point moulded into one pad. Steel backing plates feature a black e-coat finish for corrosion resistance.",images/MKD643,6
3978,Bosch Premium FILTECH Spin-On Oil Filter,Bosch,Oil Filter,3978,Chevrolet Malibu (2013-2020) 2.5L|Dodge Ram 1500 (2013-2018) 5.7L Hemi,S45023,S45011,,Glossy black spin-on oil filter featuring Bosch's FILTECH multi-layer filtration media for improved contaminant capture and extended service intervals. Silver perforated base flange with eight drain-back holes and a printed Bosch Premium Oil Filter label.,images/3978,9
S45011,STP Cartridge Oil Filter,STP,Oil Filter,S45011,BMW 3 Series (2006-2013) N52 3.0L|Mercedes-Benz C-Class (2008-2014) M272 3.0L,S45023,3978,,"Cartridge-style oil filter with a tightly pleated tan paper filtration element and a black plastic top cap fitted with two locating prongs. Sold with a fresh rubber housing seal and rated for 5,000-mile service intervals.",images/S45011,7
S45023,STP Spin-On Oil Filter,STP,Oil Filter,S45023,Toyota Camry (2007-2017) 2.5L/3.5L|Honda Accord (2008-2017) 2.4L,3978,S45011,,"Compact blue spin-on oil filter in STP retail packaging, rated for 5,000-mile oil-change intervals. Steel canister with a silicone anti-drainback valve and a pre-lubricated rubber gasket for hand-tight installation.",images/S45023,8
AFR-001,OEM Rectangular Panel Air Filter,Denso,Air Filter,DEN-AFR-001,Toyota Corolla (2014-2019),AFR-003,AFR-004,,OEM-replacement rectangular panel air filter with a pleated yellow paper media element bonded into a moulded black plastic frame. Directional FLOW arrows and a TOP marking are moulded into the frame for correct installation orientation.,images/AFR-001,4
AFR-002,Performance Cone Air Filter (Universal),K&N,Air Filter,KNF-AFR-002,Universal Fitment|Ford Mustang GT (2015-2020),AFR-004,AFR-003,,"Universal-fit performance cone air filter with red cross-weave cotton gauze media pleated around a black rubber base, a polished chrome inlet flange, and a stainless steel worm-drive hose clamp for a secure fit onto aftermarket intake tubing.",images/AFR-002,4
AFR-003,OEM Round Air Filter,Denso,Air Filter,DEN-AFR-003,Toyota Hilux (2016-2022),AFR-001,AFR-002,,"Round OEM-style replacement air filter featuring densely pleated yellow paper media radiating from a centre bore, sealed top and bottom with a black rubber gasket rim designed to seat inside a factory round air-cleaner housing.",images/AFR-003,4
AFR-004,Premium Performance Oval Air Filter,Airaid,Air Filter,ARD-AFR-004,Ford Mustang GT (2015-2020),AFR-002,AFR-005,,"Premium oval-shaped performance air filter with deep-pleated red cotton-gauze media and a moulded black rubber sealing base, embossed with PREMIUM PERFORMANCE FILTER and a part reference number.",images/AFR-004,4
AFR-005,Cabin Air Filter (Activated Carbon),Mahle,Air Filter,MAH-AFR-005,Honda Civic (2016-2021),AFR-001,AFR-004,,"Cabin air filter featuring alternating white pleated micro-glass media and grey activated-carbon-infused pleats within a rigid black frame, with a locating hole for tool-free removal. Filters incoming HVAC air of dust, pollen and odours.",images/AFR-005,5
FI-1001,Port Fuel Injector,Bosch,Fuel Injector,BOS-FI-1001,Toyota Corolla (2014-2019),FI-1003,FI-1002,,"OEM-style port fuel injector featuring a slim stainless-steel body, a black two-prong electrical connector, a precision single-hole spray nozzle at the tip, and dual colour-coded sealing O-rings for a leak-free fit in the fuel rail and intake manifold.",images/FI-1001,4
FI-1002,Gasoline Direct Injection Injector,Denso,Fuel Injector,DEN-FI-1002,Hyundai Elantra (2017-2020),FI-1003,FI-1001,,"High-pressure gasoline direct injection injector with a compact stainless-steel body, a hex-flanged high-pressure fuel inlet fitting, and a black electrical connector. The narrow spray-tip nozzle is engineered to withstand the elevated rail pressures of direct-injection engines.",images/FI-1002,4
FI-1003,Common Rail Diesel Injector,Delphi,Fuel Injector,DEL-FI-1003,Ford Endeavour (2016-2021),FI-1002,FI-1004,,"Heavy-duty common rail diesel injector featuring an elongated machined steel body, a side-mounted high-pressure banjo-style fuel return fitting, and a black electrical connector housing the internal solenoid valve.",images/FI-1003,4
FI-1004,Unit Injector (UIS),Bosch,Fuel Injector,BOS-FI-1004,Volkswagen Jetta (2011-2018),FI-1003,FI-1005,,"Integrated unit injector combining a camshaft-actuated high-pressure pump and injector nozzle in one assembly. Features a large coil-spring plunger mechanism, a cast mounting flange with sealing O-rings, and a side-mounted electrical connector for solenoid control.",images/FI-1004,4
FI-1005,Dual-Fuel LPG/CNG Injector Rail,Valtek,Fuel Injector,VTK-FI-1005,Universal 4-Cylinder Engines,FI-1004,FI-1001,,Dual-fuel injector rail assembly consisting of four black-bodied LPG/CNG injectors mounted on a common brushed-steel rail with two mounting ears. Each injector has its own electrical connector and a colour-coded O-ring seal at the base.,images/FI-1005,4
PSP-1001,Hydraulic Power Steering Pump,Bosch,Power Steering Pump,BOS-PSP-1001,Toyota Corolla (2014-2019),PSP-1003,PSP-1002,,"OEM hydraulic power steering pump featuring an integrated black plastic fluid reservoir mounted atop a precision-machined cast-aluminium pump housing, a multi-groove belt-driven pulley, and a side-mounted pressure outlet fitting.",images/PSP-1001,4
